===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,BuySell,len,buy,sell,DrawDown,len,drawdown,maxdrawdown,Value,len,value,TimeReturn,len,timereturn
19,,19,2021-01-21 00:00:00,855.0,855.719971,841.419983,844.98999,20521100.0,0.0,MyStrategy,19,737811.0,Broker,19,10858.73999,10013.75,Trades - Net Profit/Loss,19,,,BuySell,19,,,DrawDown,19,0.0,0.0,Value,19,10013.75,TimeReturn,19,0.000545549940299539
20,,20,2021-01-22 00:00:00,834.309998,848.0,828.619995,846.640015,20066500.0,0.0,MyStrategy,20,737812.0,Broker,20,10858.73999,10012.099975000001,Trades - Net Profit/Loss,20,,,BuySell,20,,,DrawDown,20,0.016477593309189912,0.016477593309189912,Value,20,10012.099975000001,TimeReturn,20,-0.00016477593309194294
21,,21,2021-01-25 00:00:00,855.0,900.400024,838.820007,880.799988,41173400.0,0.0,MyStrategy,21,737815.0,Broker,21,10858.73999,9977.940002,Trades - Net Profit/Loss,21,,,BuySell,21,,,DrawDown,21,0.3576082686306392,0.3576082686306392,Value,21,9977.940002,TimeReturn,21,-0.00341186894710388
22,,22,2021-01-26 00:00:00,891.380005,895.900024,871.599976,883.090027,23131600.0,0.0,MyStrategy,22,737816.0,Broker,22,9075.97998,9959.070007,Trades - Net Profit/Loss,22,,-32.64001499999995,BuySell,22,891.380005,,DrawDown,22,0.5460491124703507,0.5460491124703507,Value,22,9959.070007,TimeReturn,22,-0.0018911714237825894
23,,23,2021-01-27 00:00:00,870.349976,891.5,858.659973,864.159973,27334000.0,0.0,MyStrategy,23,737817.0,Broker,23,9075.97998,9940.139953,Trades - Net Profit/Loss,23,,,BuySell,23,,,DrawDown,23,0.7350897216327562,0.7350897216327562,Value,23,9940.139953,TimeReturn,23,-0.0019007853129554553
24,,24,2021-01-28 00:00:00,820.0,848.0,801.0,835.429993,26378000.0,0.0,MyStrategy,24,737818.0,Broker,24,9075.97998,9911.409973,Trades - Net Profit/Loss,24,,,BuySell,24,,,DrawDown,24,1.0219950268380995,1.0219950268380995,Value,24,9911.409973,TimeReturn,24,-0.002890299345466363
25,,25,2021-01-29 00:00:00,830.0,842.409973,780.099976,793.530029,34990800.0,0.0,MyStrategy,25,737819.0,Broker,25,9075.97998,9869.510009,Trades - Net Profit/Loss,25,,,BuySell,25,,,DrawDown,25,1.440419333416556,1.440419333416556,Value,25,9869.510009,TimeReturn,25,-0.004227447367644133
26,,26,2021-02-01 00:00:00,814.289978,842.0,795.559998,839.809998,25391400.0,0.0,MyStrategy,26,737822.0,Broker,26,9075.97998,9915.789978,Trades - Net Profit/Loss,26,,,BuySell,26,,,DrawDown,26,0.9782551192110778,1.440419333416556,Value,26,9915.789978,TimeReturn,26,0.0046891860850031275
27,,27,2021-02-02 00:00:00,844.679993,880.5,842.200012,872.789978,24346200.0,0.0,MyStrategy,27,737823.0,Broker,27,10765.339966,9892.549987999999,Trades - Net Profit/Loss,27,,-46.700012000000015,BuySell,27,,844.679993,DrawDown,27,1.2103359081263378,1.440419333416556,Value,27,9892.549987999999,TimeReturn,27,-0.0023437356026664302
28,,28,2021-02-03 00:00:00,877.02002,878.080017,853.059998,854.690002,18343500.0,0.0,MyStrategy,28,737824.0,Broker,28,9011.299926,9865.989927999999,Trades - Net Profit/Loss,28,,-32.34002700000008,BuySell,28,877.02002,,DrawDown,28,1.4755718087629603,1.4755718087629603,Value,28,9865.989927999999,TimeReturn,28,-0.0026848547677007506
29,,29,2021-02-04 00:00:00,855.0,856.5,833.419983,849.98999,15812700.0,0.0,MyStrategy,29,737825.0,Broker,29,9011.299926,9861.289916,Trades - Net Profit/Loss,29,,,BuySell,29,,,DrawDown,29,1.5225073923355414,1.5225073923355414,Value,29,9861.289916,TimeReturn,29,-0.00047638524205873
30,,30,2021-02-05 00:00:00,845.0,864.77002,838.969971,852.22998,18566600.0,0.0,MyStrategy,30,737826.0,Broker,30,9011.299926,9863.529906,Trades - Net Profit/Loss,30,,,BuySell,30,,,DrawDown,30,1.5001382499063811,1.5225073923355414,Value,30,9863.529906,TimeReturn,30,0.00022714979673854607
31,,31,2021-02-08 00:00:00,869.669983,877.77002,854.75,863.419983,20161700.0,0.0,MyStrategy,31,737829.0,Broker,31,9011.299926,9874.719909,Trades - Net Profit/Loss,31,,,BuySell,31,,,DrawDown,31,1.3883918711771368,1.5225073923355414,Value,31,9874.719909,TimeReturn,31,0.0011344825946331127
32,,32,2021-02-09 00:00:00,855.119995,859.799988,841.75,849.460022,15157700.0,0.0,MyStrategy,32,737830.0,Broker,32,9011.299926,9860.759947999999,Trades - Net Profit/Loss,32,,,BuySell,32,,,DrawDown,32,1.5277997952814981,1.5277997952814981,Value,32,9860.759947999999,TimeReturn,32,-0.0014137070345942027
33,,33,2021-02-10 00:00:00,843.640015,844.820007,800.02002,804.820007,36216100.0,0.0,MyStrategy,33,737831.0,Broker,33,9011.299926,9816.119933,Trades - Net Profit/Loss,33,,,BuySell,33,,,DrawDown,33,1.9735869878916494,1.9735869878916494,Value,33,9816.119933,TimeReturn,33,-0.0045270359724204345
34,,34,2021-02-11 00:00:00,812.440002,829.880005,801.72998,811.659973,21622800.0,0.0,MyStrategy,34,737832.0,Broker,34,9011.299926,9822.959899,Trades - Net Profit/Loss,34,,,BuySell,34,,,DrawDown,34,1.905281248283615,1.9735869878916494,Value,34,9822.959899,TimeReturn,34,0.0006968095384618511
35,,35,2021-02-12 00:00:00,801.26001,817.330017,785.330017,816.119995,23768300.0,0.0,MyStrategy,35,737833.0,Broker,35,10613.819946,9797.699950999999,Trades - Net Profit/Loss,35,,-75.76001000000008,BuySell,35,,801.26001,DrawDown,35,2.1575338809137565,2.1575338809137565,Value,35,9797.699950999999,TimeReturn,35,-0.0025715210343648653
36,,36,2021-02-16 00:00:00,818.0,821.0,792.440002,796.219971,19802300.0,0.0,MyStrategy,36,737837.0,Broker,36,10613.819946,9817.599975,Trades - Net Profit/Loss,36,,,BuySell,36,,,DrawDown,36,1.9588068905255356,2.1575338809137565,Value,36,9817.599975,TimeReturn,36,0.0020310913887466864
37,,37,2021-02-17 00:00:00,779.090027,799.840027,762.01001,798.150024,25996500.0,0.0,MyStrategy,37,737838.0,Broker,37,10613.819946,9815.669922,Trades - Net Profit/Loss,37,,,BuySell,37,,,DrawDown,37,1.9780809187367456,2.1575338809137565,Value,37,9815.669922,TimeReturn,37,-0.00019659112256709133
38,,38,2021-02-18 00:00:00,780.900024,794.690002,776.27002,787.380005,17957100.0,0.0,MyStrategy,38,737839.0,Broker,38,10613.819946,9826.439941,Trades - Net Profit/Loss,38,,,BuySell,38,,,DrawDown,38,1.8705286131569039,2.1575338809137565,Value,38,9826.439941,TimeReturn,38,0.0010972270956119967
39,,39,2021-02-19 00:00:00,795.0,796.789978,777.369995,781.299988,18958300.0,0.0,MyStrategy,39,737840.0,Broker,39,10613.819946,9832.519957999999,Trades - Net Profit/Loss,39,,,BuySell,39,,,DrawDown,39,1.809811928598188,2.1575338809137565,Value,39,9832.519957999999,TimeReturn,39,0.0006187405648947486
40,,40,2021-02-22 00:00:00,762.640015,768.5,710.200012,714.5,37269700.0,0.0,MyStrategy,40,737843.0,Broker,40,10613.819946,9899.319946,Trades - Net Profit/Loss,40,,,BuySell,40,,,DrawDown,40,1.1427292872300625,2.1575338809137565,Value,40,9899.319946,TimeReturn,40,0.00679378107396067
41,,41,2021-02-23 00:00:00,662.130005,713.609985,619.0,698.840027,66606900.0,0.0,MyStrategy,41,737844.0,Broker,41,10613.819946,9914.979919,Trades - Net Profit/Loss,41,,,BuySell,41,,,DrawDown,41,0.986344586193989,2.1575338809137565,Value,41,9914.979919,TimeReturn,41,0.0015819241205885515
42,,42,2021-02-24 00:00:00,711.849976,745.0,694.169983,742.02002,36767000.0,0.0,MyStrategy,42,737845.0,Broker,42,10613.819946,9871.799926,Trades - Net Profit/Loss,42,,,BuySell,42,,,DrawDown,42,1.4175516065410092,2.1575338809137565,Value,42,9871.799926,TimeReturn,42,-0.004355025764324005
43,,43,2021-02-25 00:00:00,726.150024,737.210022,670.580017,682.219971,39023900.0,0.0,MyStrategy,43,737846.0,Broker,43,10613.819946,9931.599975,Trades - Net Profit/Loss,43,,,BuySell,43,,,DrawDown,43,0.820372238172521,2.1575338809137565,Value,43,9931.599975,TimeReturn,43,0.006057664199869084
44,,44,2021-02-26 00:00:00,700.0,706.700012,659.51001,675.5,41089200.0,0.0,MyStrategy,44,737847.0,Broker,44,10613.819946,9938.319946,Trades - Net Profit/Loss,44,,,BuySell,44,,,DrawDown,44,0.753264800898768,2.1575338809137565,Value,44,9938.319946,TimeReturn,44,0.0006766252181840127
45,,45,2021-03-01 00:00:00,690.109985,719.0,685.049988,718.429993,27136200.0,0.0,MyStrategy,45,737850.0,Broker,45,10613.819946,9895.389953,Trades - Net Profit/Loss,45,,,BuySell,45,,,DrawDown,45,1.1819752540257158,2.1575338809137565,Value,45,9895.389953,TimeReturn,45,-0.0043196428806137055
46,,46,2021-03-02 00:00:00,718.280029,721.109985,685.0,686.440002,23732200.0,0.0,MyStrategy,46,737851.0,Broker,46,10613.819946,9927.379944,Trades - Net Profit/Loss,46,,,BuySell,46,,,DrawDown,46,0.8625146024216677,2.1575338809137565,Value,46,9927.379944,TimeReturn,46,0.0032328176203204606
47,,47,2021-03-03 00:00:00,687.98999,700.700012,651.710022,653.200012,30208000.0,0.0,MyStrategy,47,737852.0,Broker,47,10613.819946,9960.619934,Trades - Net Profit/Loss,47,,,BuySell,47,,,DrawDown,47,0.5305711247035299,2.1575338809137565,Value,47,9960.619934,TimeReturn,47,0.003348314478493375
48,,48,2021-03-04 00:00:00,655.799988,668.450012,600.0,621.440002,65919500.0,0.0,MyStrategy,48,737853.0,Broker,48,10613.819946,9992.379944,Trades - Net Profit/Loss,48,,,BuySell,48,,,DrawDown,48,0.21340712520284358,2.1575338809137565,Value,48,9992.379944,TimeReturn,48,0.0031885575607186745
49,,49,2021-03-05 00:00:00,626.059998,627.840027,539.48999,597.950012,89396500.0,0.0,MyStrategy,49,737854.0,Broker,49,10613.819946,10015.869934,Trades - Net Profit/Loss,49,,,BuySell,49,,,DrawDown,49,0.0,2.1575338809137565,Value,49,10015.869934,TimeReturn,49,0.0023507903153847653
50,,50,2021-03-08 00:00:00,600.549988,620.130005,558.789978,563.0,51787000.0,0.0,MyStrategy,50,737857.0,Broker,50,10613.819946,10050.819946,Trades - Net Profit/Loss,50,,,BuySell,50,,,DrawDown,50,0.0,2.1575338809137565,Value,50,10050.819946,TimeReturn,50,0.0034894634445439277
51,,51,2021-03-09 00:00:00,608.179993,678.090027,595.210022,673.580017,67523300.0,0.0,MyStrategy,51,737858.0,Broker,51,10613.819946,9940.239929,Trades - Net Profit/Loss,51,,,BuySell,51,,,DrawDown,51,1.100208914238968,2.1575338809137565,Value,51,9940.239929,TimeReturn,51,-0.011002089142389648
52,,52,2021-03-10 00:00:00,700.299988,717.849976,655.059998,668.059998,60605700.0,0.0,MyStrategy,52,737859.0,Broker,52,9213.219969999998,9881.279967999999,Trades - Net Profit/Loss,52,100.96002199999998,,BuySell,52,700.299988,,DrawDown,52,1.6868273326045782,2.1575338809137565,Value,52,9881.279967999999,TimeReturn,52,-0.005931442442147605
53,,53,2021-03-11 00:00:00,699.400024,702.5,677.179993,699.599976,36253900.0,0.0,MyStrategy,53,737860.0,Broker,53,9213.219969999998,9912.819945999998,Trades - Net Profit/Loss,53,,,BuySell,53,,,DrawDown,53,1.3730223080448547,2.1575338809137565,Value,53,9912.819945999998,TimeReturn,53,0.003191891951461745
54,,54,2021-03-12 00:00:00,670.0,694.880005,666.140015,693.72998,33583800.0,0.0,MyStrategy,54,737861.0,Broker,54,9213.219969999998,9906.949949999998,Trades - Net Profit/Loss,54,,,BuySell,54,,,DrawDown,54,1.4314254635240808,2.1575338809137565,Value,54,9906.949949999998,TimeReturn,54,-0.0005921620721425214
55,,55,2021-03-15 00:00:00,694.090027,713.179993,684.039978,707.940002,29335600.0,0.0,MyStrategy,55,737864.0,Broker,55,9213.219969999998,9921.159971999998,Trades - Net Profit/Loss,55,,,BuySell,55,,,DrawDown,55,1.2900437446559145,2.1575338809137565,Value,55,9921.159971999998,TimeReturn,55,0.0014343488229693335
56,,56,2021-03-16 00:00:00,703.349976,707.919983,671.0,676.880005,32195700.0,0.0,MyStrategy,56,737865.0,Broker,56,9213.219969999998,9890.099974999997,Trades - Net Profit/Loss,56,,,BuySell,56,,,DrawDown,56,1.5990732284878428,2.1575338809137565,Value,56,9890.099974999997,TimeReturn,56,-0.0031306820056988816
57,,57,2021-03-17 00:00:00,656.869995,703.72998,651.01001,701.809998,40372500.0,0.0,MyStrategy,57,737866.0,Broker,57,9213.219969999998,9915.029967999999,Trades - Net Profit/Loss,57,,,BuySell,57,,,DrawDown,57,1.3510338333544822,2.1575338809137565,Value,57,9915.029967999999,TimeReturn,57,0.0025207018192958675
58,,58,2021-03-18 00:00:00,684.289978,689.22998,652.0,653.159973,33224800.0,0.0,MyStrategy,58,737867.0,Broker,58,9213.219969999998,9866.379942999998,Trades - Net Profit/Loss,58,,,BuySell,58,,,DrawDown,58,1.8350741928612948,2.1575338809137565,Value,58,9866.379942999998,TimeReturn,58,-0.004906694700572256
59,,59,2021-03-19 00:00:00,646.599976,657.22998,624.619995,654.869995,42894000.0,0.0,MyStrategy,59,737868.0,Broker,59,9213.219969999998,9868.089965,Trades - Net Profit/Loss,59,,,BuySell,59,,,DrawDown,59,1.8180604366783313,2.1575338809137565,Value,59,9868.089965,TimeReturn,59,0.0001733180771346099
60,,60,2021-03-22 00:00:00,684.590027,699.619995,668.75,670.0,39512200.0,0.0,MyStrategy,60,737871.0,Broker,60,10582.400023999999,9912.400023999999,Trades - Net Profit/Loss,60,,-15.709961000000021,BuySell,60,,684.590027,DrawDown,60,1.3772002955349825,2.1575338809137565,Value,60,9912.400023999999,TimeReturn,60,0.004490236627063382
61,,61,2021-03-23 00:00:00,675.77002,677.799988,657.51001,662.159973,30491900.0,0.0,MyStrategy,61,737872.0,Broker,61,10582.400023999999,9920.240050999999,Trades - Net Profit/Loss,61,,,BuySell,61,,,DrawDown,61,1.2991964407040106,2.1575338809137565,Value,61,9920.240050999999,TimeReturn,61,0.0007909312559035708
62,,62,2021-03-24 00:00:00,667.909973,668.02002,630.109985,630.27002,33795200.0,0.0,MyStrategy,62,737873.0,Broker,62,10582.400023999999,9952.130003999999,Trades - Net Profit/Loss,62,,,BuySell,62,,,DrawDown,62,0.9819093619250165,2.1575338809137565,Value,62,9952.130003999999,TimeReturn,62,0.0032146352140727252
63,,63,2021-03-25 00:00:00,613.0,645.5,609.5,640.390015,39224900.0,0.0,MyStrategy,63,737874.0,Broker,63,10582.400023999999,9942.010008999998,Trades - Net Profit/Loss,63,,,BuySell,63,,,DrawDown,63,1.0825976147677954,2.1575338809137565,Value,63,9942.010008999998,TimeReturn,63,-0.0010168672430860282
64,,64,2021-03-26 00:00:00,641.869995,643.820007,599.890015,618.710022,33852800.0,0.0,MyStrategy,64,737875.0,Broker,64,10582.400023999999,9963.690002,Trades - Net Profit/Loss,64,,,BuySell,64,,,DrawDown,64,0.8668938899325921,2.1575338809137565,Value,64,9963.690002,TimeReturn,64,0.002180644857566527
65,,65,2021-03-29 00:00:00,615.640015,616.47998,596.02002,611.289978,28637000.0,0.0,MyStrategy,65,737878.0,Broker,65,10582.400023999999,9971.110045999998,Trades - Net Profit/Loss,65,,,BuySell,65,,,DrawDown,65,0.7930686295074304,2.1575338809137565,Value,65,9971.110045999998,TimeReturn,65,0.0007447084361826839
66,,66,2021-03-30 00:00:00,601.75,637.659973,591.01001,635.619995,39432400.0,0.0,MyStrategy,66,737879.0,Broker,66,10582.400023999999,9946.780028999998,Trades - Net Profit/Loss,66,,,BuySell,66,,,DrawDown,66,1.0351386012183754,2.1575338809137565,Value,66,9946.780028999998,TimeReturn,66,-0.00244005099610356
67,,67,2021-03-31 00:00:00,646.619995,672.0,641.109985,667.929993,33337300.0,0.0,MyStrategy,67,737880.0,Broker,67,10582.400023999999,9914.470030999999,Trades - Net Profit/Loss,67,,,BuySell,67,,,DrawDown,67,1.3566048912682482,2.1575338809137565,Value,67,9914.470030999999,TimeReturn,67,-0.0032482871749247577
68,,68,2021-04-01 00:00:00,688.369995,692.419983,659.419983,661.75,35298400.0,0.0,MyStrategy,68,737881.0,Broker,68,9205.660033999997,9867.410033999997,Trades - Net Profit/Loss,68,,-3.7799680000000535,BuySell,68,688.369995,,DrawDown,68,1.824825367337277,2.1575338809137565,Value,68,9867.410033999997,TimeReturn,68,-0.004746597332268676
69,,69,2021-04-05 00:00:00,707.710022,708.159973,684.700012,691.049988,41842800.0,0.0,MyStrategy,69,737885.0,Broker,69,9205.660033999997,9896.710021999997,Trades - Net Profit/Loss,69,,,BuySell,69,,,DrawDown,69,1.5333069821963572,2.1575338809137565,Value,69,9896.710021999997,TimeReturn,69,0.0029693696622561383
70,,70,2021-04-06 00:00:00,690.299988,696.549988,681.369995,691.619995,28271800.0,0.0,MyStrategy,70,737886.0,Broker,70,9205.660033999997,9897.280028999998,Trades - Net Profit/Loss,70,,,BuySell,70,,,DrawDown,70,1.5276357334518496,2.1575338809137565,Value,70,9897.280028999998,TimeReturn,70,5.7595604876059525e-05
71,,71,2021-04-07 00:00:00,687.0,691.380005,667.840027,670.969971,26309400.0,0.0,MyStrategy,71,737887.0,Broker,71,9205.660033999997,9876.630004999997,Trades - Net Profit/Loss,71,,,BuySell,71,,,DrawDown,71,1.7330918465943272,2.1575338809137565,Value,71,9876.630004999997,TimeReturn,71,-0.002086434246529767
72,,72,2021-04-08 00:00:00,677.380005,689.549988,671.650024,683.799988,23924300.0,0.0,MyStrategy,72,737888.0,Broker,72,9205.660033999997,9889.460021999997,Trades - Net Profit/Loss,72,,,BuySell,72,,,DrawDown,72,1.6054404005537852,2.1575338809137565,Value,72,9889.460021999997,TimeReturn,72,0.0012990278053854887
73,,73,2021-04-09 00:00:00,677.77002,680.969971,669.429993,677.02002,21437100.0,0.0,MyStrategy,73,737889.0,Broker,73,9205.660033999997,9882.680053999997,Trades - Net Profit/Loss,73,,,BuySell,73,,,DrawDown,73,1.6728972651322718,2.1575338809137565,Value,73,9882.680053999997,TimeReturn,73,-0.0006855751461574133
74,,74,2021-04-12 00:00:00,685.700012,704.799988,682.090027,701.97998,29135700.0,0.0,MyStrategy,74,737892.0,Broker,74,9205.660033999997,9907.640013999997,Trades - Net Profit/Loss,74,,,BuySell,74,,,DrawDown,74,1.4245597152199023,2.1575338809137565,Value,74,9907.640013999997,TimeReturn,74,0.0025256266380795367
75,,75,2021-04-13 00:00:00,712.700012,763.0,710.659973,762.320007,44652800.0,0.0,MyStrategy,75,737893.0,Broker,75,9205.660033999997,9967.980040999997,Trades - Net Profit/Loss,75,,,BuySell,75,,,DrawDown,75,0.8242104171110036,2.1575338809137565,Value,75,9967.980040999997,TimeReturn,75,0.006090252261359508
76,,76,2021-04-14 00:00:00,770.700012,780.789978,728.030029,732.22998,49017400.0,0.0,MyStrategy,76,737894.0,Broker,76,9205.660033999997,9937.890013999997,Trades - Net Profit/Loss,76,,,BuySell,76,,,DrawDown,76,1.1235892455216683,2.1575338809137565,Value,76,9937.890013999997,TimeReturn,76,-0.0030186684640453043
77,,77,2021-04-15 00:00:00,743.099976,743.690002,721.309998,738.849976,27848900.0,0.0,MyStrategy,77,737895.0,Broker,77,9205.660033999997,9944.510009999996,Trades - Net Profit/Loss,77,,,BuySell,77,,,DrawDown,77,1.057724012281329,2.1575338809137565,Value,77,9944.510009999996,TimeReturn,77,0.0006661369758242941
78,,78,2021-04-16 00:00:00,728.650024,749.409973,724.599976,739.780029,27979500.0,0.0,MyStrategy,78,737896.0,Broker,78,9205.660033999997,9945.440062999996,Trades - Net Profit/Loss,78,,,BuySell,78,,,DrawDown,78,1.0484705085373862,2.1575338809137565,Value,78,9945.440062999996,TimeReturn,78,9.352426605890862e-05
79,,79,2021-04-19 00:00:00,719.599976,725.400024,691.799988,714.630005,39686200.0,0.0,MyStrategy,79,737899.0,Broker,79,9205.660033999997,9920.290038999996,Trades - Net Profit/Loss,79,,,BuySell,79,,,DrawDown,79,1.2986990882465435,2.1575338809137565,Value,79,9920.290038999996,TimeReturn,79,-0.0025287995142181385
80,,80,2021-04-20 00:00:00,717.419983,737.25,710.690002,718.98999,35609000.0,0.0,MyStrategy,80,737900.0,Broker,80,9205.660033999997,9924.650023999997,Trades - Net Profit/Loss,80,,,BuySell,80,,,DrawDown,80,1.2553196921034842,2.1575338809137565,Value,80,9924.650023999997,TimeReturn,80,0.00043950176686968767
81,,81,2021-04-21 00:00:00,704.77002,744.840027,698.0,744.119995,31215500.0,0.0,MyStrategy,81,737901.0,Broker,81,10615.200073999997,9871.080078999996,Trades - Net Profit/Loss,81,16.400025000000028,,BuySell,81,,704.77002,DrawDown,81,1.7883104857682413,2.1575338809137565,Value,81,9871.080078999996,TimeReturn,81,-0.005397665899599224
82,,82,2021-04-22 00:00:00,741.5,753.77002,718.039978,719.690002,35590300.0,0.0,MyStrategy,82,737902.0,Broker,82,9132.200073999997,9851.890075999996,Trades - Net Profit/Loss,82,,-36.729979999999955,BuySell,82,741.5,,DrawDown,82,1.9792402119309,2.1575338809137565,Value,82,9851.890075999996,TimeReturn,82,-0.0019440631467294578
83,,83,2021-04-23 00:00:00,719.799988,737.359985,715.460022,729.400024,28370000.0,0.0,MyStrategy,83,737903.0,Broker,83,9132.200073999997,9861.600097999997,Trades - Net Profit/Loss,83,,,BuySell,83,,,DrawDown,83,1.8826309596293953,2.1575338809137565,Value,83,9861.600097999997,TimeReturn,83,0.0009855999128183246
84,,84,2021-04-26 00:00:00,741.0,749.299988,732.609985,738.200012,31038500.0,0.0,MyStrategy,84,737906.0,Broker,84,9132.200073999997,9870.400085999996,Trades - Net Profit/Loss,84,,,BuySell,84,,,DrawDown,84,1.7950760332922555,2.1575338809137565,Value,84,9870.400085999996,TimeReturn,84,0.0008923489000312035
