===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,BuySell,len,buy,sell,DrawDown,len,drawdown,maxdrawdown,Value,len,value,TimeReturn,len,timereturn
1,,1,2020-12-23 00:00:00,632.200012,651.5,622.570007,645.97998,33173000.0,0.0,MyStrategy,1,737782.0,Broker,1,10000.0,10000.0,Trades - Net Profit/Loss,1,,,BuySell,1,,,DrawDown,1,0.0,0.0,Value,1,10000.0,TimeReturn,1,0.0
2,,2,2020-12-24 00:00:00,642.98999,666.090027,641.0,661.77002,22865600.0,0.0,MyStrategy,2,737783.0,Broker,2,10000.0,10000.0,Trades - Net Profit/Loss,2,,,BuySell,2,,,DrawDown,2,0.0,0.0,Value,2,10000.0,TimeReturn,2,0.0
3,,3,2020-12-28 00:00:00,674.51001,681.400024,660.799988,663.690002,32278600.0,0.0,MyStrategy,3,737787.0,Broker,3,10000.0,10000.0,Trades - Net Profit/Loss,3,,,BuySell,3,,,DrawDown,3,0.0,0.0,Value,3,10000.0,TimeReturn,3,0.0
4,,4,2020-12-29 00:00:00,661.0,669.900024,655.0,665.98999,22910800.0,0.0,MyStrategy,4,737788.0,Broker,4,10000.0,10000.0,Trades - Net Profit/Loss,4,,,BuySell,4,,,DrawDown,4,0.0,0.0,Value,4,10000.0,TimeReturn,4,0.0
5,,5,2020-12-30 00:00:00,672.0,696.599976,668.359985,694.780029,42846000.0,0.0,MyStrategy,5,737789.0,Broker,5,10000.0,10000.0,Trades - Net Profit/Loss,5,,,BuySell,5,,,DrawDown,5,0.0,0.0,Value,5,10000.0,TimeReturn,5,0.0
6,,6,2020-12-31 00:00:00,699.98999,718.719971,691.119995,705.669983,49649900.0,0.0,MyStrategy,6,737790.0,Broker,6,10000.0,10000.0,Trades - Net Profit/Loss,6,,,BuySell,6,,,DrawDown,6,0.0,0.0,Value,6,10000.0,TimeReturn,6,0.0
7,,7,2021-01-04 00:00:00,719.460022,744.48999,717.190002,729.77002,48638200.0,0.0,MyStrategy,7,737794.0,Broker,7,10000.0,10000.0,Trades - Net Profit/Loss,7,,,BuySell,7,,,DrawDown,7,0.0,0.0,Value,7,10000.0,TimeReturn,7,0.0
8,,8,2021-01-05 00:00:00,723.659973,740.840027,719.200012,735.109985,32245200.0,0.0,MyStrategy,8,737795.0,Broker,8,10000.0,10000.0,Trades - Net Profit/Loss,8,,,BuySell,8,,,DrawDown,8,0.0,0.0,Value,8,10000.0,TimeReturn,8,0.0
9,,9,2021-01-06 00:00:00,758.48999,774.0,749.099976,755.97998,44700000.0,0.0,MyStrategy,9,737796.0,Broker,9,10000.0,10000.0,Trades - Net Profit/Loss,9,,,BuySell,9,,,DrawDown,9,0.0,0.0,Value,9,10000.0,TimeReturn,9,0.0
10,,10,2021-01-07 00:00:00,777.630005,816.98999,775.200012,816.039978,51498900.0,0.0,MyStrategy,10,737797.0,Broker,10,10000.0,10000.0,Trades - Net Profit/Loss,10,,,BuySell,10,,,DrawDown,10,0.0,0.0,Value,10,10000.0,TimeReturn,10,0.0
11,,11,2021-01-08 00:00:00,856.0,884.48999,838.390015,880.02002,75055500.0,0.0,MyStrategy,11,737798.0,Broker,11,10000.0,10000.0,Trades - Net Profit/Loss,11,,,BuySell,11,,,DrawDown,11,0.0,0.0,Value,11,10000.0,TimeReturn,11,0.0
12,,12,2021-01-11 00:00:00,849.400024,854.429993,803.619995,811.190002,59301600.0,0.0,MyStrategy,12,737801.0,Broker,12,10000.0,10000.0,Trades - Net Profit/Loss,12,,,BuySell,12,,,DrawDown,12,0.0,0.0,Value,12,10000.0,TimeReturn,12,0.0
13,,13,2021-01-12 00:00:00,831.0,868.0,827.340027,849.440002,46270700.0,0.0,MyStrategy,13,737802.0,Broker,13,10000.0,10000.0,Trades - Net Profit/Loss,13,,,BuySell,13,,,DrawDown,13,0.0,0.0,Value,13,10000.0,TimeReturn,13,0.0
14,,14,2021-01-13 00:00:00,852.76001,860.469971,832.0,854.409973,33312500.0,0.0,MyStrategy,14,737803.0,Broker,14,10000.0,10000.0,Trades - Net Profit/Loss,14,,,BuySell,14,,,DrawDown,14,0.0,0.0,Value,14,10000.0,TimeReturn,14,0.0
15,,15,2021-01-14 00:00:00,843.390015,863.0,838.75,845.0,31266300.0,0.0,MyStrategy,15,737804.0,Broker,15,10000.0,10000.0,Trades - Net Profit/Loss,15,,,BuySell,15,,,DrawDown,15,0.0,0.0,Value,15,10000.0,TimeReturn,15,0.0
16,,16,2021-01-15 00:00:00,852.0,859.900024,819.099976,826.159973,38777600.0,0.0,MyStrategy,16,737805.0,Broker,16,10000.0,10000.0,Trades - Net Profit/Loss,16,,,BuySell,16,,,DrawDown,16,0.0,0.0,Value,16,10000.0,TimeReturn,16,0.0
17,,17,2021-01-19 00:00:00,837.799988,850.0,833.0,844.549988,25367000.0,0.0,MyStrategy,17,737809.0,Broker,17,10000.0,10000.0,Trades - Net Profit/Loss,17,,,BuySell,17,,,DrawDown,17,0.0,0.0,Value,17,10000.0,TimeReturn,17,0.0
18,,18,2021-01-20 00:00:00,858.73999,859.5,837.280029,850.450012,25665900.0,0.0,MyStrategy,18,737810.0,Broker,18,10858.73999,10008.289978,Trades - Net Profit/Loss,18,,,BuySell,18,,858.73999,DrawDown,18,0.0,0.0,Value,18,10008.289978,TimeReturn,18,0.0008289978000000087
